cell,ix,iy,xc,yc,isFluidCell,nFluid,mass,distanceToCylinder
184,88,2,1.82291666666667,0.03125,1,6,6,1.28350812945435
185,89,2,1.84375,0.03125,1,22,22,1.30316219209196
186,90,2,1.86458333333333,0.03125,1,16,16,1.3228493462975
187,91,2,1.88541666666667,0.03125,1,23,23,1.34256825576715
188,92,2,1.90625,0.03125,1,15,15,1.36231765320393
189,93,2,1.92708333333333,0.03125,1,20,20,1.38209633605098
190,94,2,1.94791666666667,0.03125,1,23,23,1.40190316252747
191,95,2,1.96875,0.03125,1,26,26,1.421737047943
192,96,2,1.98958333333333,0.03125,1,19,19,1.44159696126896
193,1,3,0.0104166666666667,0.0520833333333333,1,17,17,0.543567012859708
194,2,3,0.03125,0.0520833333333333,1,24,24,0.52834859664981
195,3,3,0.0520833333333333,0.0520833333333333,1,26,26,0.513449824812949
196,4,3,0.0729166666666667,0.0520833333333333,1,18,18,0.498893782396373
197,5,3,0.09375,0.0520833333333333,1,28,28,0.4847052197375
198,6,3,0.114583333333333,0.0520833333333333,1,16,16,0.470910608486785
199,7,3,0.135416666666667,0.0520833333333333,1,30,30,0.457538178151213
200,8,3,0.15625,0.0520833333333333,1,17,17,0.444617926369485
201,9,3,0.177083333333333,0.0520833333333333,1,13,13,0.432181595029107
202,10,3,0.197916666666667,0.0520833333333333,1,30,30,0.420262603328748
203,11,3,0.21875,0.0520833333333333,1,18,18,0.408895928116088
204,12,3,0.239583333333333,0.0520833333333333,1,11,11,0.398117921476912
205,13,3,0.260416666666667,0.0520833333333333,1,20,20,0.387966055843192
206,14,3,0.28125,0.0520833333333333,1,16,16,0.378478588083558
207,15,3,0.302083333333333,0.0520833333333333,1,20,20,0.369694136397632
208,16,3,0.322916666666667,0.0520833333333333,1,15,15,0.361651167570704
209,17,3,0.34375,0.0520833333333333,1,12,12,0.354387397363987
210,18,3,0.364583333333333,0.0520833333333333,1,8,8,0.347939113442004
211,19,3,0.385416666666667,0.0520833333333333,1,28,28,0.342340437941086
212,20,3,0.40625,0.0520833333333333,1,21,21,0.33762255492685
213,21,3,0.427083333333333,0.0520833333333333,1,26,26,0.333812935641499
214,22,3,0.447916666666667,0.0520833333333333,1,32,32,0.330934600456528
215,23,3,0.46875,0.0520833333333333,1,26,26,0.329005459630256
216,24,3,0.489583333333333,0.0520833333333333,1,15,15,0.328037774325137
217,25,3,0.510416666666667,0.0520833333333333,1,26,26,0.328037774325137
218,26,3,0.53125,0.0520833333333333,1,17,17,0.329005459630256
219,27,3,0.552083333333333,0.0520833333333333,1,18,18,0.330934600456528
220,28,3,0.572916666666667,0.0520833333333333,1,25,25,0.333812935641499
221,29,3,0.59375,0.0520833333333333,1,13,13,0.33762255492685
222,30,3,0.614583333333333,0.0520833333333333,1,11,11,0.342340437941086
223,31,3,0.635416666666667,0.0520833333333333,1,12,12,0.347939113442004
224,32,3,0.65625,0.0520833333333333,1,20,20,0.354387397363987
225,33,3,0.677083333333333,0.0520833333333333,1,13,13,0.361651167570704
226,34,3,0.697916666666667,0.0520833333333333,1,26,26,0.369694136397632
227,35,3,0.71875,0.0520833333333333,1,7,7,0.378478588083558
