x_center,y_center,ux,uy,count,omega
0.401875,0.0003125,0.195683,0.278064,34,254.42
0.403125,0.0003125,0.64723,0.0456574,15,-92.7989
0.404375,0.0003125,0.549916,0.122436,19,-406.322
0.405625,0.0003125,0.512349,-0.0312869,22,-290.407
0.406875,0.0003125,0.508645,0.175727,21,170.635
0.408125,0.0003125,0.515769,-0.0958477,13,207.51
0.409375,0.0003125,0.784289,-0.0146214,25,382.632
0.410625,0.0003125,0.397992,0.172491,24,232.243
0.411875,0.0003125,0.0847716,0.286489,20,-207.223
0.413125,0.0003125,0.52691,-0.044057,23,-73.6446
0.414375,0.0003125,0.60246,-0.0811625,24,-158.223
0.415625,0.0003125,0.3284,0.0579625,25,-300.61
0.416875,0.0003125,0.672269,-0.0293427,26,-199.099
0.418125,0.0003125,0.303778,-0.145555,27,-195.401
0.419375,0.0003125,0.373758,0.0298845,26,248.75
0.420625,0.0003125,0.582856,-0.0403931,14,250.263
0.421875,0.0003125,0.279439,0.0658649,25,229.8
0.423125,0.0003125,0.754979,-0.169545,18,-179.997
0.424375,0.0003125,0.307486,0.0654861,21,173.012
0.425625,0.0003125,0.540757,-0.0837244,22,-113.234
0.426875,0.0003125,0.399138,0.228972,23,-8.42105
0.428125,0.0003125,0.728834,-0.068893,15,-299.39
0.429375,0.0003125,0.715331,-0.0381022,19,-350.205
0.430625,0.0003125,0.587319,0.00880164,28,-264.648
0.431875,0.0003125,0.479151,0.0393696,27,-55.9385
0.433125,0.0003125,0.48977,0.125924,21,26.0034
0.434375,0.0003125,0.573532,-0.245,16,-379.782
0.435625,0.0003125,0.959995,-0.096205,17,-144.672
0.436875,0.0003125,0.520351,-0.336971,21,-136.863
0.438125,0.0003125,0.743026,0.137164,19,609.955
0.439375,0.0003125,0.399761,0.19724,29,-165.583
0.440625,0.0003125,0.474795,0.115131,22,-214.376
0.441875,0.0003125,0.308643,0.155156,20,-83.9768
0.443125,0.0003125,0.558348,-0.0845038,23,288.039
0.444375,0.0003125,0.481299,-0.208584,21,-12.8766
0.445625,0.0003125,0.312262,-0.0652667,9,189.15
0.446875,0.0003125,0.259059,-0.195601,17,52.7648
0.448125,0.0003125,0.792014,0.037363,18,-10.1962
0.449375,0.0003125,0.573593,-0.187545,19,100.955
0.450625,0.0003125,0.467547,0.18825,18,-215.642
0.451875,0.0003125,0.526896,0.116242,20,-279.721
0.453125,0.0003125,0.562751,0.0132758,28,-102.973
0.454375,0.0003125,0.502288,0.0343865,33,-139.411
0.455625,0.0003125,0.321259,0.0858067,16,248.147
