path,action,group,reason
docs/POISEUILLE_VALIDATION.md,keep,documentation cas,documentation utile pour un des cinq cas de production
docs/Q6_CHANNEL_POISEUILLE_VALIDATION.md,remove,validation,script ou document de validation intermédiaire retiré de la version production
docs/Q6_PERIODIC_ADAPTER.md,keep,documentation générale,référence générale utile hors validation intermédiaire
docs/Q9_BETA_SWEEP_VALIDATION.md,remove,validation,script ou document de validation intermédiaire retiré de la version production
docs/Q9_IMMERSED_OPEN_BOUNDARY_SAFETY_0066.md,remove,diagnostic développement,diagnostic interne ou analyse de mise au point retiré
docs/Q9_IMMERSED_OPEN_BOUNDARY_SAFETY_0066B_TUNED_SWEEP.md,remove,campagne/sweep,préparation de campagnes de développement retirée
docs/Q9_IMMERSED_OPEN_BOUNDARY_SAFETY_0066C_CONSERVATIVE_TUNING.md,remove,diagnostic développement,diagnostic interne ou analyse de mise au point retiré
docs/Q9_LOWK_FILTERING_INCIDENT.md,remove,diagnostic développement,diagnostic interne ou analyse de mise au point retiré
docs/Q9_PERIODIC_ADAPTER.md,keep,documentation générale,référence générale utile hors validation intermédiaire
docs/README_APPLY_0069.md,remove,documentation historique,note de jalon ou détail de validation intermédiaire retiré
docs/RUNTIME_WALL_REFLECTION_DIAGNOSTICS.md,keep,documentation générale,référence générale utile hors validation intermédiaire
docs/SOLID_THERMAL_BOUNDARIES.md,keep,documentation générale,référence générale utile hors validation intermédiaire
docs/SOLID_THERMAL_COUETTE_SLIDING.md,remove,documentation historique,note de jalon ou détail de validation intermédiaire retiré
docs/SOLID_THERMAL_POISEUILLE_SYMMETRY.md,remove,documentation historique,note de jalon ou détail de validation intermédiaire retiré
docs/SRCMPCD_STATE_BIN_V1.md,keep,documentation générale,référence générale utile hors validation intermédiaire
docs/SRC_MPCD_BASE.md,keep,documentation générale,référence générale utile hors validation intermédiaire
docs/TAYLOR_GREEN_Q6_HIGH_SNR_SHORT_RUN.md,remove,documentation historique,note de jalon ou détail de validation intermédiaire retiré
docs/TAYLOR_GREEN_Q6_VALIDATION.md,keep,documentation cas,documentation utile pour un des cinq cas de production
docs/TAYLOR_GREEN_Q9_FILTERED_VALIDATION.md,remove,validation,script ou document de validation intermédiaire retiré de la version production
